Date,Unfavorable,Leader
Jan 14 2011,54,Nancy Pelosi
Apr 11 2013,48,Nancy Pelosi
Oct 3 2013,47,Nancy Pelosi
Apr 24 2014,49,Nancy Pelosi
Nov 4 2015,46,Nancy Pelosi
Apr 5 2017,48,Nancy Pelosi
Jun 1 2018,53,Nancy Pelosi
Aug 2 2012,17,Paul Ryan
Aug 20 2012,36,Paul Ryan
Sep 24 2012,40,Paul Ryan
Jun 1 2013,32,Paul Ryan
Jul 7 2014,25,Paul Ryan
Nov 4 2015,29,Paul Ryan
Jul 3 2016,35,Paul Ryan
Aug 3 2016,36,Paul Ryan
Nov 9 2016,34,Paul Ryan
Apr 5 2017,46,Paul Ryan
Jun 1 2018,45,Paul Ryan
Mar 26 2010,32,Mitch McConnell
May 24 2010,30,Mitch McConnell
Apr 11 2013,34,Mitch McConnell
Oct 3 2013,42,Mitch McConnell
Apr 24 2014,40,Mitch McConnell
Aug 5 2015,41,Mitch McConnell
Oct 7 2015,41,Mitch McConnell
Apr 5 2017,44,Mitch McConnell
Aug 2 2017,47,Mitch McConnell
Jun 1 2018,50,Mitch McConnell
