"","State.Name","Data.Value","id"
"148","Alabama",787,1
"74","Alaska",138,2
"296","Arizona",1565,4
"222","Arkansas",425,5
"371","California",5023,6
"446","Colorado",1049,8
"666","Connecticut",1047,9
"1258","Delaware",330,10
"1332","Florida",5428,12
"1407","Georgia",1476,13
"1481","Hawaii",202,15
"1628","Idaho",227,16
"1702","Illinois",2760,17
"1776","Indiana",1804,18
"1555","Iowa",337,19
"1850","Kansas",319,20
"1924","Kentucky",1528,21
"1998","Louisiana",1112,22
"2665","Maine",408,23
"2294","Maryland",2284,24
"2072","Massachusetts",2158,25
"2886","Michigan",2563,26
"2960","Minnesota",718,27
"3108","Mississippi",315,28
"3034","Missouri",1396,29
"3183","Montana",111,30
"3700","Nebraska",152,31
"4736","Nevada",757,32
"3923","New Hampshire",472,33
"4146","New Jersey",2585,34
"4366","New Mexico",481,35
"5106","New York",2406,36
"3404","North Carolina",2323,37
"3626","North Dakota",81,38
"5328","Ohio",4928,39
"5551","Oklahoma",755,40
"5920","Oregon",542,41
"6142","Pennsylvania",5283,42
"6364","Rhode Island",321,44
"6734","South Carolina",990,45
"6956","South Dakota",69,46
"7030","Tennessee",1755,47
"7104","Texas",2964,48
"7696","Utah",636,49
"8436","Vermont",129,50
"8066","Virginia",1437,51
"8807","Washington",1164,53
"9250","West Virginia",940,55
"9028","Wisconsin",1152,54
"9472","Wyoming",61,56
